cluster,rank,keyword,tfidf_diff,tfidf_score
0,1,que,0.030236464549581614,0.0670061015031831
0,2,de,0.026140708171788478,0.05873648630636434
0,3,eu,0.02586158068248061,0.056666762890908724
0,4,não,0.02471331601875099,0.053238487437719195
0,5,você,0.02296042015423693,0.04350718452857287
0,6,pra,0.018469902306451236,0.04009529811850811
0,7,um,0.017267404742205932,0.0376196681670266
0,8,se,0.016649717767950788,0.03814881598821634
0,9,amor,0.015410336624117785,0.03281753399112743
0,10,meu,0.015164335967123896,0.035737556461199804
0,11,te,0.014112348837324259,0.03145435000232247
0,12,na,0.012644525589319527,0.029454045543772595
0,13,mais,0.012488837300775218,0.027703710424390557
0,14,vai,0.01222788477113754,0.025874539964157936
0,15,só,0.011695776603722985,0.025389997420157028
1,1,we,0.03376550202131391,0.05231185460192384
1,2,the,0.032213204058676635,0.07127290374505489
1,3,we re,0.030813199103017205,0.03647689637069477
1,4,again,0.030046652734674828,0.03625607923444152
1,5,he,0.028532291984343754,0.03765974288825529
1,6,and,0.02567452880992839,0.05679640674862267
1,7,re,0.024599540923416596,0.038911614513420616
1,8,to,0.022312160346837688,0.053558499913952465
1,9,you,0.02192384674244286,0.05897025627649882
1,10,it,0.021590630162804,0.0478882388084033
1,11,in,0.020519889627193012,0.04525784919862314
1,12,his,0.020177204646676213,0.026142891639596055
1,13,of,0.01948931267775815,0.04206586671290841
1,14,that,0.018070774427768936,0.03935113412351693
1,15,on,0.016668582509749688,0.036116834168314765
2,1,és,0.18677772377493312,0.1897966175014337
2,2,tu és,0.1507964679062497,0.15243757039783712
2,3,senhor,0.14823838582374518,0.15553579369018242
2,4,tu,0.13476871719315398,0.13987598106061785
2,5,santo,0.10469220513498657,0.1072598677714634
2,6,ti,0.08958137006811971,0.09450510852746251
2,7,glória,0.06888300967659619,0.07186428430228686
2,8,louvor,0.0682645137744447,0.06981450703325418
2,9,rei,0.060042959760303924,0.06256056494296594
2,10,deus,0.058896634831788815,0.06963025750432046
2,11,teu,0.0577112129935035,0.06680197731292788
2,12,santo santo,0.05659678507151828,0.05718847271475884
2,13,meu,0.05194456645285654,0.07251778694693245
2,14,tua,0.05126297835040586,0.05705820307683802
2,15,és meu,0.050124147801881194,0.05081984004031259
3,1,ela,0.18073718023215435,0.18856582561444393
3,2,que,0.0474533210216106,0.08422295797521209
3,3,que ela,0.04103037169333182,0.04275946394819022
3,4,eu,0.040378926134278466,0.07118410834270658
3,5,de,0.04026189784683772,0.07285767598141359
3,6,não,0.038752081880049985,0.0672772532990182
3,7,pra,0.03321069226700872,0.05483608807906559
3,8,se,0.03229267208625773,0.05379177030652328
3,9,ela não,0.030171515639471905,0.031262522304171037
3,10,dela,0.029037222549845622,0.03069112338188653
3,11,com,0.029000156508473623,0.04509259210322467
3,12,um,0.027992727203142814,0.048344990627963484
3,13,mulher,0.025495799177366014,0.029434567045505084
3,14,quer,0.02444106242823306,0.03058614884253792
3,15,ela me,0.024289118053542738,0.025235872501076118
4,1,nigga,0.08278549456615597,0.08559306710961588
4,2,shit,0.06647960898547552,0.06988580090697877
4,3,fuck,0.055103718574920205,0.05813708440451909
4,4,niggas,0.05455311513041296,0.05638280102182187
4,5,bitch,0.052145999409630994,0.054482324829121964
4,6,ain,0.04599553752420062,0.05239595344265331
4,7,got,0.04202563031719808,0.053955050818858756
4,8,get,0.040879274690403186,0.052129483277824365
4,9,like,0.03910707188492172,0.053803942910486215
4,10,up,0.03853664984035102,0.05171885603752059
4,11,they,0.03668767225334385,0.048346912854408966
4,12,on,0.03430865637162069,0.05375690803018577
4,13,with,0.034202851595971064,0.049359461411362895
4,14,my,0.03401288132143404,0.058364385109741464
4,15,ass,0.032749147765470256,0.03462055731708389
5,1,you,0.024600033009304793,0.061646442543360755
5,2,the,0.023167378826159407,0.06222707851253766
5,3,to,0.019882341734419967,0.051128681301534744
5,4,and,0.01918966647543175,0.05031154441412603
5,5,it,0.017906513810740418,0.04420412245633972
5,6,my,0.01675417101649847,0.0411056748048059
5,7,in,0.01544396575236432,0.04018192532379445
5,8,your,0.01489264250162757,0.03554908543108085
5,9,of,0.01483383086221099,0.03741038489736125
5,10,that,0.013725925516555777,0.03500628521230377
5,11,can,0.012794747895957696,0.030011694551533546
5,12,all,0.01229872683801458,0.03119277529858752
5,13,be,0.012050516763928622,0.029342756120431794
5,14,is,0.011701634884143032,0.030229858217424656
5,15,on,0.011582071159461707,0.031030322818026784
6,1,senhor,0.1341903562667882,0.14148776413322545
6,2,jesus,0.08403817522815346,0.09142464228258354
6,3,ti,0.05227114740437398,0.05719488586371678
6,4,tua,0.04764734747532383,0.05344257220175599
6,5,glória,0.04500920050907655,0.04799047513476723
6,6,és,0.04318127643008919,0.046200170156589754
6,7,teu,0.04299220132509703,0.05208296564452141
6,8,tu,0.03935576198598238,0.044463025853446254
6,9,deus,0.0393468513483764,0.050080474020908046
6,10,cristo,0.036309312192102025,0.039210851230616676
6,11,em,0.03535940924638421,0.05320331397096607
6,12,meu,0.034765829912487625,0.055339050406563534
6,13,santo,0.033814632942871195,0.03638229557934802
6,14,ao,0.03209340946359539,0.040793335351265385
6,15,do senhor,0.03078092848900448,0.03236067850562417
7,1,jesus,0.05381899579605499,0.06120546285048506
7,2,senhor,0.04025850179595128,0.04755590966238851
7,3,que,0.034987123120783524,0.07175676007438501
7,4,deus,0.034364772340200085,0.04509839501273173
7,5,de,0.032824399524726496,0.06542017765930236
7,6,teu,0.03121081702578521,0.040301581345209586
7,7,em,0.026763798723259766,0.04460770344784162
7,8,eu,0.02591839601263747,0.056723578221065586
7,9,tua,0.02566361153807299,0.031458836264505144
7,10,ti,0.025282162221889184,0.03020590068123198
7,11,te,0.024788813182359485,0.042130814347357694
7,12,meu,0.02453522621385225,0.04510844670792816
7,13,ele,0.024322428930287063,0.03310358149024128
7,14,tu,0.023919437932574977,0.029026701800038853
7,15,ao,0.020676320683382987,0.029376246571052984
